====================================================================
LEVEL 2: LLM + Classical MPC Safety Filter | Env: cartpole
Seed: 42 | Wind: 40-80 | Magnitude: 0.4
Horizon: 8 steps | dt: 0.02s
====================================================================
Step   0            | LLM: +0.050 -> MPC: +0.338 (corr 0.288) | Pole: +0.0363 | Violation: 0
Step  25            | LLM: +0.050 -> MPC: +0.528 (corr 0.478) | Pole: +0.0562 | Violation: 0
Step  26            | LLM: +0.050 -> MPC: +0.539 (corr 0.489) | Pole: +0.0574 | Violation: 0
Step  27            | LLM: +0.050 -> MPC: +0.551 (corr 0.501) | Pole: +0.0587 | Violation: 0
Step  28            | LLM: +0.050 -> MPC: +0.563 (corr 0.513) | Pole: +0.0600 | Violation: 0
Step  29            | LLM: +0.050 -> MPC: +0.575 (corr 0.525) | Pole: +0.0613 | Violation: 0
Step  30            | LLM: +0.100 -> MPC: +0.616 (corr 0.516) | Pole: +0.0627 | Violation: 0
Step  31            | LLM: +0.100 -> MPC: +0.627 (corr 0.527) | Pole: +0.0641 | Violation: 0
Step  32            | LLM: +0.100 -> MPC: +0.638 (corr 0.538) | Pole: +0.0656 | Violation: 0
Step  33            | LLM: +0.100 -> MPC: +0.650 (corr 0.550) | Pole: +0.0670 | Violation: 0
Step  34            | LLM: +0.100 -> MPC: +0.662 (corr 0.562) | Pole: +0.0685 | Violation: 0
Step  35            | LLM: +0.050 -> MPC: +0.645 (corr 0.595) | Pole: +0.0701 | Violation: 0
Step  36            | LLM: +0.050 -> MPC: +0.661 (corr 0.611) | Pole: +0.0717 | Violation: 0
Step  37            | LLM: +0.050 -> MPC: +0.676 (corr 0.626) | Pole: +0.0734 | Violation: 0
Step  38            | LLM: +0.050 -> MPC: +0.692 (corr 0.642) | Pole: +0.0751 | Violation: 0
Step  39            | LLM: +0.050 -> MPC: +0.709 (corr 0.659) | Pole: +0.0769 | Violation: 0
Step  40 <<<WIND>>> | LLM: +0.050 -> MPC: +0.726 (corr 0.676) | Pole: +0.0787 | Violation: 0
Step  41 <<<WIND>>> | LLM: +0.050 -> MPC: +0.744 (corr 0.694) | Pole: +0.0807 | Violation: 0
Step  42 <<<WIND>>> | LLM: +0.050 -> MPC: +0.762 (corr 0.712) | Pole: +0.0826 | Violation: 0
Step  43 <<<WIND>>> | LLM: +0.050 -> MPC: +0.781 (corr 0.731) | Pole: +0.0847 | Violation: 0
Step  44 <<<WIND>>> | LLM: +0.050 -> MPC: +0.800 (corr 0.750) | Pole: +0.0868 | Violation: 0
Step  45 <<<WIND>>> | LLM: +0.100 -> MPC: +0.849 (corr 0.749) | Pole: +0.0890 | Violation: 0
Step  46 <<<WIND>>> | LLM: +0.100 -> MPC: +0.867 (corr 0.767) | Pole: +0.0912 | Violation: 0
Step  47 <<<WIND>>> | LLM: +0.100 -> MPC: +0.886 (corr 0.786) | Pole: +0.0934 | Violation: 0
Step  48 <<<WIND>>> | LLM: +0.100 -> MPC: +0.906 (corr 0.806) | Pole: +0.0958 | Violation: 0
Step  49 <<<WIND>>> | LLM: +0.100 -> MPC: +0.926 (corr 0.826) | Pole: +0.0982 | Violation: 0
Step  50 <<<WIND>>> | LLM: +0.050 -> MPC: +0.918 (corr 0.868) | Pole: +0.1007 | Violation: 0
Step  51 <<<WIND>>> | LLM: +0.050 -> MPC: +0.942 (corr 0.892) | Pole: +0.1032 | Violation: 0
Step  52 <<<WIND>>> | LLM: +0.050 -> MPC: +0.967 (corr 0.917) | Pole: +0.1059 | Violation: 0
Step  53 <<<WIND>>> | LLM: +0.050 -> MPC: +0.992 (corr 0.942) | Pole: +0.1086 | Violation: 0
Step  54 <<<WIND>>> | LLM: +0.050 -> MPC: +1.000 (corr 0.950) | Pole: +0.1115 | Violation: 0
Step  55 <<<WIND>>> | LLM: +0.200 -> MPC: +1.000 (corr 0.800) | Pole: +0.1145 | Violation: 0
Step  56 <<<WIND>>> | LLM: +0.200 -> MPC: +1.000 (corr 0.800) | Pole: +0.1176 | Violation: 0
Step  57 <<<WIND>>> | LLM: +0.200 -> MPC: +1.000 (corr 0.800) | Pole: +0.1208 | Violation: 0
Step  58 <<<WIND>>> | LLM: +0.200 -> MPC: +1.000 (corr 0.800) | Pole: +0.1243 | Violation: 0
Step  59 <<<WIND>>> | LLM: +0.200 -> MPC: +1.000 (corr 0.800) | Pole: +0.1279 | Violation: 0
Step  60 <<<WIND>>> | LLM: +0.200 -> MPC: +1.000 (corr 0.800) | Pole: +0.1318 | Violation: 0
Step  61 <<<WIND>>> | LLM: +0.200 -> MPC: +1.000 (corr 0.800) | Pole: +0.1359 | Violation: 0
Step  62 <<<WIND>>> | LLM: +0.200 -> MPC: +1.000 (corr 0.800) | Pole: +0.1403 | Violation: 0
Step  63 <<<WIND>>> | LLM: +0.200 -> MPC: +0.200 (corr 0.000) | Pole: +0.1454 | Violation: 0
Step  64 <<<WIND>>> | LLM: +0.200 -> MPC: +0.200 (corr 0.000) | Pole: +0.1514 | Violation: 0
Step  65 <<<WIND>>> | LLM: +0.200 -> MPC: +0.200 (corr 0.000) | Pole: +0.1582 | Violation: 0
Step  66 <<<WIND>>> | LLM: +0.200 -> MPC: +0.200 (corr 0.000) | Pole: +0.1658 | Violation: 0
Step  67 <<<WIND>>> | LLM: +0.200 -> MPC: +0.200 (corr 0.000) | Pole: +0.1744 | Violation: 0
Step  68 <<<WIND>>> | LLM: +0.200 -> MPC: +0.200 (corr 0.000) | Pole: +0.1840 | Violation: 0
Step  69 <<<WIND>>> | LLM: +0.200 -> MPC: +0.200 (corr 0.000) | Pole: +0.1946 | Violation: 0
Step  70 <<<WIND>>> | LLM: +0.250 -> MPC: +0.250 (corr 0.000) | Pole: +0.2062 | Violation: 0
Step  71 <<<WIND>>> | LLM: +0.250 -> MPC: +0.250 (corr 0.000) | Pole: +0.2190 | Violation: 1
Step  72 <<<WIND>>> | LLM: +0.250 -> MPC: +0.250 (corr 0.000) | Pole: +0.2331 | Violation: 1
Step  73 <<<WIND>>> | LLM: +0.250 -> MPC: +0.250 (corr 0.000) | Pole: +0.2484 | Violation: 1
Step  74 <<<WIND>>> | LLM: +0.250 -> MPC: +0.250 (corr 0.000) | Pole: +0.2651 | Violation: 1
Step  75 <<<WIND>>> | LLM: +0.500 -> MPC: +0.500 (corr 0.000) | Pole: +0.2832 | Violation: 1
Step  76 <<<WIND>>> | LLM: +0.500 -> MPC: +0.500 (corr 0.000) | Pole: +0.3028 | Violation: 1
Step  77 <<<WIND>>> | LLM: +0.500 -> MPC: +0.500 (corr 0.000) | Pole: +0.3239 | Violation: 1
Step  78 <<<WIND>>> | LLM: +0.500 -> MPC: +0.500 (corr 0.000) | Pole: +0.3468 | Violation: 1
Step  79 <<<WIND>>> | LLM: +0.500 -> MPC: +0.500 (corr 0.000) | Pole: +0.3715 | Violation: 1
Step  80            | LLM: +0.500 -> MPC: +0.500 (corr 0.000) | Pole: +0.3981 | Violation: 1
Step  81            | LLM: +0.500 -> MPC: +0.500 (corr 0.000) | Pole: +0.4269 | Violation: 1
Step  82            | LLM: +0.500 -> MPC: +0.500 (corr 0.000) | Pole: +0.4580 | Violation: 1
Step  83            | LLM: +0.500 -> MPC: +0.500 (corr 0.000) | Pole: +0.4916 | Violation: 1
Step  84            | LLM: +0.500 -> MPC: +0.500 (corr 0.000) | Pole: +0.5278 | Violation: 1
Step  85            | LLM: +0.500 -> MPC: +0.500 (corr 0.000) | Pole: +0.5668 | Violation: 1
Step  86            | LLM: +0.500 -> MPC: +0.500 (corr 0.000) | Pole: +0.6089 | Violation: 1
Step  87            | LLM: +0.500 -> MPC: +0.500 (corr 0.000) | Pole: +0.6542 | Violation: 1
Step  88            | LLM: +0.500 -> MPC: +0.500 (corr 0.000) | Pole: +0.7029 | Violation: 1
Step  89            | LLM: +0.500 -> MPC: +0.500 (corr 0.000) | Pole: +0.7553 | Violation: 1
Step  90            | LLM: +0.600 -> MPC: +0.600 (corr 0.000) | Pole: +0.8115 | Violation: 1
Step  91            | LLM: +0.600 -> MPC: +0.600 (corr 0.000) | Pole: +0.8718 | Violation: 1
Step  92            | LLM: +0.600 -> MPC: +0.600 (corr 0.000) | Pole: +0.9363 | Violation: 1
Step  93            | LLM: +0.600 -> MPC: +0.600 (corr 0.000) | Pole: +1.0054 | Violation: 1
Step  94            | LLM: +0.600 -> MPC: +0.600 (corr 0.000) | Pole: +1.0792 | Violation: 1
Step  95            | LLM: +0.500 -> MPC: +0.500 (corr 0.000) | Pole: +1.1580 | Violation: 1
Step  96            | LLM: +0.500 -> MPC: +0.500 (corr 0.000) | Pole: +1.2420 | Violation: 1
Step  97            | LLM: +0.500 -> MPC: +0.500 (corr 0.000) | Pole: +1.3313 | Violation: 1
Step  98            | LLM: +0.500 -> MPC: +0.500 (corr 0.000) | Pole: +1.4261 | Violation: 1
Step  99            | LLM: +0.500 -> MPC: +0.500 (corr 0.000) | Pole: +1.5267 | Violation: 1
Step 100            | LLM: +0.500 -> MPC: +0.500 (corr 0.000) | Pole: +1.6331 | Violation: 1

[Episode ended early at step 100]
====================================================================
RESULTS
Total violations: 30
Violation steps: [71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100]
Note: Should be lower than Level 1; compare to Level 3
====================================================================
